# FITS filename			Lbol	Dist	Menv	pix	npix	i	sep	TdV
n1333-i2a_ch3oh_out_e.fits	35.7	235.	5.1	7.5	23	70	80	186.07
n1333-i2a_ch3oh_out_w.fits	35.7	235.	5.1	7.5	27	70	80	108.93
n1333-i4a_ch3oh_out_n.fits	9.1	235.	5.6	7.5	16	45	30	88.21
n1333-i4a_ch3oh_out_s.fits	9.1	235.	5.6	7.5	21	45	30	170.37
n1333-i4b_ch3oh_out_r.fits	4.4	235.	3.0	7.5	13	10	10	34.30
n1333-i4b_ch3oh_out_b.fits	4.4	235.	3.0	7.5	13	10	10	34.30
ser-smm4_ch3oh_out_s.fits	6.2	415.	6.8	7.5	21	30	30	75.74
ser-smm4_ch3oh_out_w.fits	6.2	415.	6.8	7.5	15	30	30	58.93
ser-smm3_ch3oh_out.fits		16.6	415.	10.4	7.5	12	50	10	22.28
s68n_ch3oh_out_s.fits		11.7	415.	11.7	7.5	21	50	20	147.51
s68n_ch3oh_out_n.fits		11.7	415.	11.7	7.5	30	50	20	135.65
